# SBOM Audit Trail
# Generated: 2026-04-20T14:08:54Z
# Input: /tmp/ubuntu-24.04.cdx.json
# Output: sbom_output.json

## Override

[2026-04-20T14:08:03Z] OVERRIDE component.version MODIFIED "24.04" -> "24.04" (source: cli/env)
[2026-04-20T14:08:04Z] OVERRIDE component.name MODIFIED "ubuntu" -> "Ubuntu 24.04 (container)" (source: cli/env)

## Augmentation

[2026-04-20T14:08:26Z] ENRICHMENT pkg:deb/ubuntu/libgmp10@2:6.3.0%2Bdfsg-2ubuntu6.1?arch=arm64&distro=ubuntu-24.04&upstream=gmp supplier ADDED (source: purl)
[2026-04-20T14:08:26Z] ENRICHMENT pkg:deb/ubuntu/libgmp10@2:6.3.0%2Bdfsg-2ubuntu6.1?arch=arm64&distro=ubuntu-24.04&upstream=gmp homepage ADDED (source: purl)
[2026-04-20T14:08:27Z] ENRICHMENT pkg:deb/ubuntu/libgnutls30t64@3.8.3-1.1ubuntu3.5?arch=arm64&distro=ubuntu-24.04&upstream=gnutls28 supplier ADDED (source: purl)
[2026-04-20T14:08:27Z] ENRICHMENT pkg:deb/ubuntu/libgnutls30t64@3.8.3-1.1ubuntu3.5?arch=arm64&distro=ubuntu-24.04&upstream=gnutls28 homepage ADDED (source: purl)
[2026-04-20T14:08:28Z] ENRICHMENT pkg:deb/ubuntu/libgpg-error0@1.47-3build2.1?arch=arm64&distro=ubuntu-24.04&upstream=libgpg-error supplier ADDED (source: purl)
[2026-04-20T14:08:28Z] ENRICHMENT pkg:deb/ubuntu/libgpg-error0@1.47-3build2.1?arch=arm64&distro=ubuntu-24.04&upstream=libgpg-error homepage ADDED (source: purl)
[2026-04-20T14:08:28Z] ENRICHMENT pkg:deb/ubuntu/libhogweed6t64@3.9.1-2.2build1.1?arch=arm64&distro=ubuntu-24.04&upstream=nettle supplier ADDED (source: purl)
[2026-04-20T14:08:28Z] ENRICHMENT pkg:deb/ubuntu/libhogweed6t64@3.9.1-2.2build1.1?arch=arm64&distro=ubuntu-24.04&upstream=nettle homepage ADDED (source: purl)
[2026-04-20T14:08:28Z] ENRICHMENT pkg:deb/ubuntu/libidn2-0@2.3.7-2build1.1?arch=arm64&distro=ubuntu-24.04&upstream=libidn2 description ADDED (source: license-db)
[2026-04-20T14:08:28Z] ENRICHMENT pkg:deb/ubuntu/libidn2-0@2.3.7-2build1.1?arch=arm64&distro=ubuntu-24.04&upstream=libidn2 manufacturer ADDED (source: license-db)
[2026-04-20T14:08:28Z] ENRICHMENT pkg:deb/ubuntu/libidn2-0@2.3.7-2build1.1?arch=arm64&distro=ubuntu-24.04&upstream=libidn2 supplier ADDED (source: license-db)
[2026-04-20T14:08:28Z] ENRICHMENT pkg:deb/ubuntu/libidn2-0@2.3.7-2build1.1?arch=arm64&distro=ubuntu-24.04&upstream=libidn2 homepage ADDED (source: license-db)
[2026-04-20T14:08:28Z] ENRICHMENT pkg:deb/ubuntu/liblz4-1@1.9.4-1build1.1?arch=arm64&distro=ubuntu-24.04&upstream=lz4 description ADDED (source: license-db)
[2026-04-20T14:08:28Z] ENRICHMENT pkg:deb/ubuntu/liblz4-1@1.9.4-1build1.1?arch=arm64&distro=ubuntu-24.04&upstream=lz4 manufacturer ADDED (source: license-db)
